index	label_id	name	hemisphere	region	fsname
1	1	rh.lateralorbitofrontal_1	right	cortical	lateralorbitofrontal_1
2	2	rh.lateralorbitofrontal_2	right	cortical	lateralorbitofrontal_2
3	3	rh.parsorbitalis_1	right	cortical	parsorbitalis_1
4	4	rh.frontalpole_1	right	cortical	frontalpole_1
5	5	rh.medialorbitofrontal_1	right	cortical	medialorbitofrontal_1
6	6	rh.medialorbitofrontal_2	right	cortical	medialorbitofrontal_2
7	7	rh.parstriangularis_1	right	cortical	parstriangularis_1
8	8	rh.parsopercularis_1	right	cortical	parsopercularis_1
9	9	rh.rostralmiddlefrontal_1	right	cortical	rostralmiddlefrontal_1
10	10	rh.rostralmiddlefrontal_2	right	cortical	rostralmiddlefrontal_2
11	11	rh.superiorfrontal_1	right	cortical	superiorfrontal_1
12	12	rh.superiorfrontal_2	right	cortical	superiorfrontal_2
13	13	rh.superiorfrontal_3	right	cortical	superiorfrontal_3
14	14	rh.superiorfrontal_4	right	cortical	superiorfrontal_4
15	15	rh.caudalmiddlefrontal_1	right	cortical	caudalmiddlefrontal_1
16	16	rh.precentral_1	right	cortical	precentral_1
17	17	rh.precentral_2	right	cortical	precentral_2
18	18	rh.precentral_3	right	cortical	precentral_3
19	19	rh.paracentral_1	right	cortical	paracentral_1
20	20	rh.rostralanteriorcingulate_1	right	cortical	rostralanteriorcingulate_1
21	21	rh.caudalanteriorcingulate_1	right	cortical	caudalanteriorcingulate_1
22	22	rh.posteriorcingulate_1	right	cortical	posteriorcingulate_1
23	23	rh.isthmuscingulate_1	right	cortical	isthmuscingulate_1
24	24	rh.postcentral_1	right	cortical	postcentral_1
25	25	rh.postcentral_2	right	cortical	postcentral_2
26	26	rh.supramarginal_1	right	cortical	supramarginal_1
27	27	rh.supramarginal_2	right	cortical	supramarginal_2
28	28	rh.superiorparietal_1	right	cortical	superiorparietal_1
29	29	rh.superiorparietal_2	right	cortical	superiorparietal_2
30	30	rh.superiorparietal_3	right	cortical	superiorparietal_3
31	31	rh.inferiorparietal_1	right	cortical	inferiorparietal_1
32	32	rh.inferiorparietal_2	right	cortical	inferiorparietal_2
33	33	rh.inferiorparietal_3	right	cortical	inferiorparietal_3
34	34	rh.precuneus_1	right	cortical	precuneus_1
35	35	rh.precuneus_2	right	cortical	precuneus_2
36	36	rh.cuneus_1	right	cortical	cuneus_1
37	37	rh.pericalcarine_1	right	cortical	pericalcarine_1
38	38	rh.lateraloccipital_1	right	cortical	lateraloccipital_1
39	39	rh.lateraloccipital_2	right	cortical	lateraloccipital_2
40	40	rh.lateraloccipital_3	right	cortical	lateraloccipital_3
41	41	rh.lingual_1	right	cortical	lingual_1
42	42	rh.lingual_2	right	cortical	lingual_2
43	43	rh.fusiform_1	right	cortical	fusiform_1
44	44	rh.fusiform_2	right	cortical	fusiform_2
45	45	rh.parahippocampal_1	right	cortical	parahippocampal_1
46	46	rh.entorhinal_1	right	cortical	entorhinal_1
47	47	rh.temporalpole_1	right	cortical	temporalpole_1
48	48	rh.inferiortemporal_1	right	cortical	inferiortemporal_1
49	49	rh.inferiortemporal_2	right	cortical	inferiortemporal_2
50	50	rh.middletemporal_1	right	cortical	middletemporal_1
51	51	rh.middletemporal_2	right	cortical	middletemporal_2
52	52	rh.bankssts_1	right	cortical	bankssts_1
53	53	rh.superiortemporal_1	right	cortical	superiortemporal_1
54	54	rh.superiortemporal_2	right	cortical	superiortemporal_2
55	55	rh.transversetemporal_1	right	cortical	transversetemporal_1
56	56	rh.insula_1	right	cortical	insula_1
57	57	rh.insula_2	right	cortical	insula_2
58	58	Right-Thalamus-Proper	right	subcortical	Right-Thalamus-Proper
59	59	Right-Caudate	right	subcortical	Right-Caudate
60	60	Right-Putamen	right	subcortical	Right-Putamen
61	61	Right-Pallidum	right	subcortical	Right-Pallidum
62	62	Right-Accumbens-area	right	subcortical	Right-Accumbens-area
63	63	Right-Hippocampus	right	subcortical	Right-Hippocampus
64	64	Right-Amygdala	right	subcortical	Right-Amygdala
65	65	lh.lateralorbitofrontal_1	left	cortical	lateralorbitofrontal_1
66	66	lh.lateralorbitofrontal_2	left	cortical	lateralorbitofrontal_2
67	67	lh.parsorbitalis_1	left	cortical	parsorbitalis_1
68	68	lh.frontalpole_1	left	cortical	frontalpole_1
69	69	lh.medialorbitofrontal_1	left	cortical	medialorbitofrontal_1
70	70	lh.parstriangularis_1	left	cortical	parstriangularis_1
71	71	lh.parsopercularis_1	left	cortical	parsopercularis_1
72	72	lh.rostralmiddlefrontal_1	left	cortical	rostralmiddlefrontal_1
73	73	lh.rostralmiddlefrontal_2	left	cortical	rostralmiddlefrontal_2
74	74	lh.rostralmiddlefrontal_3	left	cortical	rostralmiddlefrontal_3
75	75	lh.superiorfrontal_1	left	cortical	superiorfrontal_1
76	76	lh.superiorfrontal_2	left	cortical	superiorfrontal_2
77	77	lh.superiorfrontal_3	left	cortical	superiorfrontal_3
78	78	lh.superiorfrontal_4	left	cortical	superiorfrontal_4
79	79	lh.caudalmiddlefrontal_1	left	cortical	caudalmiddlefrontal_1
80	80	lh.precentral_1	left	cortical	precentral_1
81	81	lh.precentral_2	left	cortical	precentral_2
82	82	lh.precentral_3	left	cortical	precentral_3
83	83	lh.precentral_4	left	cortical	precentral_4
84	84	lh.paracentral_1	left	cortical	paracentral_1
85	85	lh.rostralanteriorcingulate_1	left	cortical	rostralanteriorcingulate_1
86	86	lh.caudalanteriorcingulate_1	left	cortical	caudalanteriorcingulate_1
