# Lookup table for extracting the DKT (Desikan-Killiany-Tourville) grey matter
# parcellation from a FastSurfer segmentation, for use with MRtrix labelconvert.
#
# Generated by dwi_pipeline/scripts/make_dkt_lut.py from fs_default.txt.
# Do not edit by hand; regenerate instead.
#
# Derived from MRtrix3's fs_default.txt (Desikan-Killiany, 84 nodes) by removing
# the 6 regions the DKT protocol does not define -- bankssts, frontal pole and
# temporal pole, bilaterally -- and renumbering the remaining 78 nodes
# contiguously. Use this LUT when the segmentation came from FastSurfer, whose
# aparc+aseg.mgz is aparc.DKTatlas+aseg.mapped.mgz; use fs_default.txt for a
# FreeSurfer recon-all segmentation.


0     ???     Unknown                         0   0   0   0

1     L.CACG  ctx-lh-caudalanteriorcingulate  125 100 160 255
2     L.CMFG  ctx-lh-caudalmiddlefrontal      100 25  0   255
3     L.CU    ctx-lh-cuneus                   220 20  100 255
4     L.EC    ctx-lh-entorhinal               220 20  10  255
5     L.FG    ctx-lh-fusiform                 180 220 140 255
6     L.IPG   ctx-lh-inferiorparietal         220 60  220 255
7     L.ITG   ctx-lh-inferiortemporal         180 40  120 255
8     L.ICG   ctx-lh-isthmuscingulate         140 20  140 255
9     L.LOG   ctx-lh-lateraloccipital         20  30  140 255
10    L.LOFG  ctx-lh-lateralorbitofrontal     35  75  50  255
11    L.LG    ctx-lh-lingual                  225 140 140 255
12    L.MOFG  ctx-lh-medialorbitofrontal      200 35  75  255
13    L.MTG   ctx-lh-middletemporal           160 100 50  255
14    L.PHIG  ctx-lh-parahippocampal          20  220 60  255
15    L.PaCG  ctx-lh-paracentral              60  220 60  255
16    L.POP   ctx-lh-parsopercularis          220 180 140 255
17    L.POR   ctx-lh-parsorbitalis            20  100 50  255
18    L.PTR   ctx-lh-parstriangularis         220 60  20  255
19    L.PCAL  ctx-lh-pericalcarine            120 100 60  255
20    L.PoCG  ctx-lh-postcentral              220 20  20  255
21    L.PCG   ctx-lh-posteriorcingulate       220 180 220 255
22    L.PrCG  ctx-lh-precentral               60  20  220 255
23    L.PCU   ctx-lh-precuneus                160 140 180 255
24    L.RACG  ctx-lh-rostralanteriorcingulate 80  20  140 255
25    L.RMFG  ctx-lh-rostralmiddlefrontal     75  50  125 255
26    L.SFG   ctx-lh-superiorfrontal          20  220 160 255
27    L.SPG   ctx-lh-superiorparietal         20  180 140 255
28    L.STG   ctx-lh-superiortemporal         140 220 220 255
29    L.SMG   ctx-lh-supramarginal            80  160 20  255
30    L.TTG   ctx-lh-transversetemporal       150 150 200 255
31    L.IN    ctx-lh-insula                   255 192 32  255
32    L.CER   Left-Cerebellum-Cortex          230 148 34  255
33    L.TH    Left-Thalamus                   0   118 14  255
33    L.TH    Left-Thalamus-Proper            0   118 14  255
34    L.CA    Left-Caudate                    122 186 220 255
35    L.PU    Left-Putamen                    236 13  176 255
36    L.PA    Left-Pallidum                   12  48  255 255
37    L.HI    Left-Hippocampus                220 216 20  255
38    L.AM    Left-Amygdala                   103 255 255 255
39    L.AC    Left-Accumbens-area             255 165 0   255
40    R.TH    Right-Thalamus                  0   118 14  255
40    R.TH    Right-Thalamus-Proper           0   118 14  255
41    R.CA    Right-Caudate                   122 186 220 255
42    R.PU    Right-Putamen                   236 13  176 255
43    R.PA    Right-Pallidum                  13  48  255 255
44    R.HI    Right-Hippocampus               220 216 20  255
45    R.AM    Right-Amygdala                  103 255 255 255
46    R.AC    Right-Accumbens-area            255 165 0   255
47    R.CACG  ctx-rh-caudalanteriorcingulate  125 100 160 255
48    R.CMFG  ctx-rh-caudalmiddlefrontal      100 25  0   255
49    R.CU    ctx-rh-cuneus                   220 20  100 255
50    R.EC    ctx-rh-entorhinal               220 20  10  255
51    R.FG    ctx-rh-fusiform                 180 220 140 255
52    R.IPG   ctx-rh-inferiorparietal         220 60  220 255
53    R.ITG   ctx-rh-inferiortemporal         180 40  120 255
54    R.ICG   ctx-rh-isthmuscingulate         140 20  140 255
55    R.LOG   ctx-rh-lateraloccipital         20  30  140 255
56    R.LOFG  ctx-rh-lateralorbitofrontal     35  75  50  255
57    R.LG    ctx-rh-lingual                  225 140 140 255
58    R.MOFG  ctx-rh-medialorbitofrontal      200 35  75  255
59    R.MTG   ctx-rh-middletemporal           160 100 50  255
60    R.PHIG  ctx-rh-parahippocampal          20  220 60  255
61    R.PaCG  ctx-rh-paracentral              60  220 60  255
62    R.POP   ctx-rh-parsopercularis          220 180 140 255
63    R.POR   ctx-rh-parsorbitalis            20  100 50  255
64    R.PTR   ctx-rh-parstriangularis         220 60  20  255
65    R.PCAL  ctx-rh-pericalcarine            120 100 60  255
66    R.PoCG  ctx-rh-postcentral              220 20  20  255
67    R.PCG   ctx-rh-posteriorcingulate       220 180 220 255
68    R.PrCG  ctx-rh-precentral               60  20  220 255
69    R.PCU   ctx-rh-precuneus                160 140 180 255
70    R.RACG  ctx-rh-rostralanteriorcingulate 80  20  140 255
71    R.RMFG  ctx-rh-rostralmiddlefrontal     75  50  125 255
72    R.SFG   ctx-rh-superiorfrontal          20  220 160 255
73    R.SPG   ctx-rh-superiorparietal         20  180 140 255
74    R.STG   ctx-rh-superiortemporal         140 220 220 255
75    R.SMG   ctx-rh-supramarginal            80  160 20  255
76    R.TTG   ctx-rh-transversetemporal       150 150 200 255
77    R.IN    ctx-rh-insula                   255 192 32  255
78    R.CER   Right-Cerebellum-Cortex         230 148 34  255
