subject	session	artifact	rows	source	exported_file	sha256
sub-001	ses-1	node strength	78	/mnt/nfs/home/URMC-SH/pndagiji/Documents/TrackTBI-Sub/dwi_pipeline/results/node_strength/strength/per_subject/sub-001_strength.csv	node_metrics/sub-001/ses-1/sub-001_ses-1_atlas-DKT78_measure-strength_nodes.csv	5b1b81efb368e1c41491595c67da62e514de9c884529300ce68bcff800ac8c72
sub-001	ses-1	node strengthAI	39	/mnt/nfs/home/URMC-SH/pndagiji/Documents/TrackTBI-Sub/dwi_pipeline/results/node_strength/strength/per_subject/sub-001_ai.csv	node_metrics/sub-001/ses-1/sub-001_ses-1_atlas-DKT78_measure-strengthAI_nodes.csv	fd3e1310524001013c75d471a2095433ba4b8a3a0a3aab5871b8f28089325d53
sub-001	ses-1	node volume	78	/mnt/nfs/home/URMC-SH/pndagiji/Documents/TrackTBI-Sub/dwi_pipeline/results/node_strength/volume/per_subject/sub-001_volume.csv	node_metrics/sub-001/ses-1/sub-001_ses-1_atlas-DKT78_measure-volume_nodes.csv	d3f23f641e5da127a6d125da7253e1ef3dc4f31539e97ba8d7157492b3918c70
sub-001	ses-1	node volumeAI	39	/mnt/nfs/home/URMC-SH/pndagiji/Documents/TrackTBI-Sub/dwi_pipeline/results/node_strength/volume/per_subject/sub-001_volume_ai.csv	node_metrics/sub-001/ses-1/sub-001_ses-1_atlas-DKT78_measure-volumeAI_nodes.csv	24f89774f4f1efbd57f923f4cb7af7618ed93330bac66acf24933f53f06941ba
sub-001	ses-1	DWI ImageQC	1	/mnt/nfs/home/URMC-SH/pndagiji/Documents/TrackTBI-Sub/dwi_pipeline/results/qsiprep_single_run_output/sub-001/ses-1/dwi/sub-001_ses-1_acq-64dirax_dir-ap_desc-ImageQC_dwi.csv	qc/sub-001/ses-1/dwi/sub-001_ses-1_desc-ImageQC_dwi.csv	f22991975ac1a6c5b4d2df4a01cbb831b8986d1d22950fca03d6535da59f0fd1
sub-002	ses-3	node strength	78	/mnt/nfs/home/URMC-SH/pndagiji/Documents/TrackTBI-Sub/dwi_pipeline/results/node_strength/strength/per_subject/sub-002_strength.csv	node_metrics/sub-002/ses-3/sub-002_ses-3_atlas-DKT78_measure-strength_nodes.csv	8a441cfe984f9299c562bfe0611e31836efdae02562e675ff114ec382da61a77
sub-002	ses-3	node strengthAI	39	/mnt/nfs/home/URMC-SH/pndagiji/Documents/TrackTBI-Sub/dwi_pipeline/results/node_strength/strength/per_subject/sub-002_ai.csv	node_metrics/sub-002/ses-3/sub-002_ses-3_atlas-DKT78_measure-strengthAI_nodes.csv	34170d0be73474d122962542fd4720750c968953b0fed459f3651efb1f1f9ffb
sub-002	ses-3	node volume	78	/mnt/nfs/home/URMC-SH/pndagiji/Documents/TrackTBI-Sub/dwi_pipeline/results/node_strength/volume/per_subject/sub-002_volume.csv	node_metrics/sub-002/ses-3/sub-002_ses-3_atlas-DKT78_measure-volume_nodes.csv	2f9aeca9477530ec691e94d5e8a40e554b8e14703a60883e63785470bbc1e694
sub-002	ses-3	node volumeAI	39	/mnt/nfs/home/URMC-SH/pndagiji/Documents/TrackTBI-Sub/dwi_pipeline/results/node_strength/volume/per_subject/sub-002_volume_ai.csv	node_metrics/sub-002/ses-3/sub-002_ses-3_atlas-DKT78_measure-volumeAI_nodes.csv	d32586d82ccaf62976bbb68afac61f5b25cfab75558d31d920f6562742b7b1b5
sub-002	ses-3	DWI ImageQC	1	/mnt/nfs/home/URMC-SH/pndagiji/Documents/TrackTBI-Sub/dwi_pipeline/results/qsiprep_single_run_output/sub-002/ses-3/dwi/sub-002_ses-3_acq-50dirax_desc-ImageQC_dwi.csv	qc/sub-002/ses-3/dwi/sub-002_ses-3_desc-ImageQC_dwi.csv	ca423fd18af75c3800854a1cfe64e374ddf0887eb7f08220686897e1e63cf95d
