node_id	abbreviation	freesurfer_label
1	L.CACG	ctx-lh-caudalanteriorcingulate
2	L.CMFG	ctx-lh-caudalmiddlefrontal
3	L.CU	ctx-lh-cuneus
4	L.EC	ctx-lh-entorhinal
5	L.FG	ctx-lh-fusiform
6	L.IPG	ctx-lh-inferiorparietal
7	L.ITG	ctx-lh-inferiortemporal
8	L.ICG	ctx-lh-isthmuscingulate
9	L.LOG	ctx-lh-lateraloccipital
10	L.LOFG	ctx-lh-lateralorbitofrontal
11	L.LG	ctx-lh-lingual
12	L.MOFG	ctx-lh-medialorbitofrontal
13	L.MTG	ctx-lh-middletemporal
14	L.PHIG	ctx-lh-parahippocampal
15	L.PaCG	ctx-lh-paracentral
16	L.POP	ctx-lh-parsopercularis
17	L.POR	ctx-lh-parsorbitalis
18	L.PTR	ctx-lh-parstriangularis
19	L.PCAL	ctx-lh-pericalcarine
20	L.PoCG	ctx-lh-postcentral
21	L.PCG	ctx-lh-posteriorcingulate
22	L.PrCG	ctx-lh-precentral
23	L.PCU	ctx-lh-precuneus
24	L.RACG	ctx-lh-rostralanteriorcingulate
25	L.RMFG	ctx-lh-rostralmiddlefrontal
26	L.SFG	ctx-lh-superiorfrontal
27	L.SPG	ctx-lh-superiorparietal
28	L.STG	ctx-lh-superiortemporal
29	L.SMG	ctx-lh-supramarginal
30	L.TTG	ctx-lh-transversetemporal
31	L.IN	ctx-lh-insula
32	L.CER	Left-Cerebellum-Cortex
33	L.TH	Left-Thalamus-Proper
34	L.CA	Left-Caudate
35	L.PU	Left-Putamen
36	L.PA	Left-Pallidum
37	L.HI	Left-Hippocampus
38	L.AM	Left-Amygdala
39	L.AC	Left-Accumbens-area
40	R.TH	Right-Thalamus-Proper
41	R.CA	Right-Caudate
42	R.PU	Right-Putamen
43	R.PA	Right-Pallidum
44	R.HI	Right-Hippocampus
45	R.AM	Right-Amygdala
46	R.AC	Right-Accumbens-area
47	R.CACG	ctx-rh-caudalanteriorcingulate
48	R.CMFG	ctx-rh-caudalmiddlefrontal
49	R.CU	ctx-rh-cuneus
50	R.EC	ctx-rh-entorhinal
51	R.FG	ctx-rh-fusiform
52	R.IPG	ctx-rh-inferiorparietal
53	R.ITG	ctx-rh-inferiortemporal
54	R.ICG	ctx-rh-isthmuscingulate
55	R.LOG	ctx-rh-lateraloccipital
56	R.LOFG	ctx-rh-lateralorbitofrontal
57	R.LG	ctx-rh-lingual
58	R.MOFG	ctx-rh-medialorbitofrontal
59	R.MTG	ctx-rh-middletemporal
60	R.PHIG	ctx-rh-parahippocampal
61	R.PaCG	ctx-rh-paracentral
62	R.POP	ctx-rh-parsopercularis
63	R.POR	ctx-rh-parsorbitalis
64	R.PTR	ctx-rh-parstriangularis
65	R.PCAL	ctx-rh-pericalcarine
66	R.PoCG	ctx-rh-postcentral
67	R.PCG	ctx-rh-posteriorcingulate
68	R.PrCG	ctx-rh-precentral
69	R.PCU	ctx-rh-precuneus
70	R.RACG	ctx-rh-rostralanteriorcingulate
71	R.RMFG	ctx-rh-rostralmiddlefrontal
72	R.SFG	ctx-rh-superiorfrontal
73	R.SPG	ctx-rh-superiorparietal
74	R.STG	ctx-rh-superiortemporal
75	R.SMG	ctx-rh-supramarginal
76	R.TTG	ctx-rh-transversetemporal
77	R.IN	ctx-rh-insula
78	R.CER	Right-Cerebellum-Cortex
