subject,fs_default_index,name,side,region_type,strength
010,1,L.caudalanteriorcingulate,L,cortex,126209.0
010,2,L.caudalmiddlefrontal,L,cortex,261555.0
010,3,L.cuneus,L,cortex,109399.0
010,4,L.entorhinal,L,cortex,13825.0
010,5,L.fusiform,L,cortex,154362.0
010,6,L.inferiorparietal,L,cortex,341989.0
010,7,L.inferiortemporal,L,cortex,196284.0
010,8,L.isthmuscingulate,L,cortex,150154.0
010,9,L.lateraloccipital,L,cortex,245815.0
010,10,L.lateralorbitofrontal,L,cortex,183596.0
010,11,L.lingual,L,cortex,181180.0
010,12,L.medialorbitofrontal,L,cortex,89932.0
010,13,L.middletemporal,L,cortex,263495.0
010,14,L.parahippocampal,L,cortex,36186.0
010,15,L.paracentral,L,cortex,167045.0
010,16,L.parsopercularis,L,cortex,157884.0
010,17,L.parsorbitalis,L,cortex,50165.0
010,18,L.parstriangularis,L,cortex,142174.0
010,19,L.pericalcarine,L,cortex,90522.0
010,20,L.postcentral,L,cortex,328159.0
010,21,L.posteriorcingulate,L,cortex,173616.0
010,22,L.precentral,L,cortex,443068.0
010,23,L.precuneus,L,cortex,236961.0
010,24,L.rostralanteriorcingulate,L,cortex,89448.0
010,25,L.rostralmiddlefrontal,L,cortex,277928.0
010,26,L.superiorfrontal,L,cortex,736359.0
010,27,L.superiorparietal,L,cortex,351981.0
010,28,L.superiortemporal,L,cortex,252530.0
010,29,L.supramarginal,L,cortex,283592.0
010,30,L.transversetemporal,L,cortex,16755.0
010,31,L.insula,L,cortex,192543.0
010,32,L.Cerebellum-Cortex,L,cerebellum,202902.0
010,33,L.Thalamus-Proper,L,subcortical,378020.0
010,34,L.Caudate,L,subcortical,162773.0
010,35,L.Putamen,L,subcortical,343064.0
010,36,L.Pallidum,L,subcortical,183106.0
010,37,L.Hippocampus,L,subcortical,58439.0
010,38,L.Amygdala,L,subcortical,26080.0
010,39,L.Accumbens-area,L,subcortical,12600.0
010,40,R.Thalamus-Proper,R,subcortical,347394.0
010,41,R.Caudate,R,subcortical,177936.0
010,42,R.Putamen,R,subcortical,357104.0
010,43,R.Pallidum,R,subcortical,178413.0
010,44,R.Hippocampus,R,subcortical,75076.0
010,45,R.Amygdala,R,subcortical,32386.0
010,46,R.Accumbens-area,R,subcortical,14703.0
010,47,R.caudalanteriorcingulate,R,cortex,107290.0
010,48,R.caudalmiddlefrontal,R,cortex,220991.0
010,49,R.cuneus,R,cortex,116235.0
010,50,R.entorhinal,R,cortex,15047.0
010,51,R.fusiform,R,cortex,158847.0
010,52,R.inferiorparietal,R,cortex,383106.0
010,53,R.inferiortemporal,R,cortex,192320.0
010,54,R.isthmuscingulate,R,cortex,125193.0
010,55,R.lateraloccipital,R,cortex,265203.0
010,56,R.lateralorbitofrontal,R,cortex,178996.0
010,57,R.lingual,R,cortex,156388.0
010,58,R.medialorbitofrontal,R,cortex,97663.0
010,59,R.middletemporal,R,cortex,281512.0
010,60,R.parahippocampal,R,cortex,39306.0
010,61,R.paracentral,R,cortex,139112.0
010,62,R.parsopercularis,R,cortex,168831.0
010,63,R.parsorbitalis,R,cortex,60731.0
010,64,R.parstriangularis,R,cortex,144900.0
010,65,R.pericalcarine,R,cortex,99932.0
010,66,R.postcentral,R,cortex,282670.0
010,67,R.posteriorcingulate,R,cortex,162644.0
010,68,R.precentral,R,cortex,500202.0
010,69,R.precuneus,R,cortex,253709.0
010,70,R.rostralanteriorcingulate,R,cortex,50071.0
010,71,R.rostralmiddlefrontal,R,cortex,325188.0
010,72,R.superiorfrontal,R,cortex,781690.0
010,73,R.superiorparietal,R,cortex,359696.0
010,74,R.superiortemporal,R,cortex,277519.0
010,75,R.supramarginal,R,cortex,274365.0
010,76,R.transversetemporal,R,cortex,21868.0
010,77,R.insula,R,cortex,149854.0
010,78,R.Cerebellum-Cortex,R,cerebellum,214192.0
